Tag,Timestamp,Valor,Estado
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 16:00:00",31.69,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 17:00:00",31.29,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 18:00:00",29.8,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 19:00:00",30.42,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 20:00:00",33.55,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 21:00:00",34.16,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 22:00:00",33.94,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 23:00:00",32.47,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 00:00:00",30.1,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 01:00:00",28.93,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 02:00:00",27.72,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 03:00:00",26.52,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 04:00:00",25.6,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 05:00:00",25.06,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 06:00:00",24.73,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 07:00:00",24.69,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 08:00:00",25.33,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 09:00:00",27.12,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 10:00:00",28.1,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 11:00:00",28.12,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 12:00:00",28.88,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 13:00:00",28.88,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 14:00:00",28.88,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 15:00:00",28.88,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 16:00:00",28.88,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 17:00:00",28.88,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 18:00:00",28.88,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 19:00:00",28.88,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 20:00:00",28.88,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 21:00:00",28.88,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 22:00:00",28.88,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-04 23:00:00",28.88,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 00:00:00",28.88,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-05 01:00:00",28.88,Normal
